source,author,title,description,url,urlToImage,publishedAt,content,topic,content_length
"{'id': None, 'name': 'Techreport.com'}",Rida Fatima,Hong Kong Displays Its Prowess in Crypto And Web3 in Tech Conference Toronto,"During a recent tech conference in Toronto, Hong Kong displayed its cross-border prowess in crypto and Web3 technology. The region’s government entities, which aim to attract foreign investments, showed off its...
The post Hong Kong Displays Its Prowess in Cr…",https://techreport.com/crypto-news/hong-kong-displays-its-prowess-in-crypto-and-web3-in-tech-conference-toronto/,https://techreport.com/wp-content/uploads/2024/06/0_1-12.png,2024-06-25T23:59:09Z,"During a recent tech conference in Toronto, Hong Kong displayed its cross-border prowess in crypto and Web3 technology. The regions government entities, which aim to attract foreign investments, show… [+3292 chars]",technology,31
"{'id': 'next-big-future', 'name': 'Next Big Future'}",Brian Wang,Volkswagen Investing $5 Billion in Rivian and Jointly Create Vehicle Software,"Volkswagen plans to invest up to $5 billion in electric vehicle startup Rivian, starting with an initial investment of $1 billion. The additional $4 billion is expected to be invested following the establishment of a joint venture. Rivian is up about 50% afte…",https://www.nextbigfuture.com/2024/06/volkswagen-investing-5-billion-in-rivian-and-jointly-create-vehicle-software.html,https://nextbigfuture.s3.amazonaws.com/uploads/2024/06/Screen-Shot-2024-06-25-at-4.56.25-PM.jpg,2024-06-25T23:59:04Z,Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology… [+593 chars],technology,34
"{'id': None, 'name': 'Popular Mechanics'}",Darren Orf,A Leap in Engineering Just Made Solid-State Batteries 100x Better,"These new solid-state batteries offer 100 times more energy density, revolutionizing wearables and small devices with safer and longer-lasting power",https://www.popularmechanics.com/technology/gadgets/a61197028/solid-state-batteries-breakthrough-tdk-energy-density/,"https://hips.hearstapps.com/hmg-prod/images/battery-charge-indicator-wood-model-phone-charge-royalty-free-image-1719241412.jpg?crop=1.00xw:0.892xh;0,0.108xh&resize=1200:*",2024-06-25T23:55:47Z,"<ul><li> Solid-state batteries, currently only found in small devices like hearing aids, pacemakers, and wearables, provide benefits in both power and safety. </li><li>TDK Corporation in Japan, a com… [+3395 chars]",technology,30
"{'id': None, 'name': 'Thehillstimes.in'}",The Hills Times,NECTAR inaugurates Remote Pilot Training Organisation,"HT Bureau GUWAHATI, June 25: In a significant stride towards empowering the youth and boosting the regional economy, the North East Centre for Technology Application and Reach (NECTAR) has proudly inaugurated Northeast India’s third Remote Pilot Training Orga…",https://thehillstimes.in/assam/nectar-inaugurates-remote-pilot-training-organisation,https://thehillstimes.in/wp-content/uploads/2024/06/NECTAR-inaugurates.jpg,2024-06-25T23:55:43Z,"HT Bureau
GUWAHATI, June 25: In a significant stride towards empowering the youth and boosting the regional economy, the North East Centre for Technology Application and Reach (NECTAR) has proudly i… [+5651 chars]",technology,33
"{'id': None, 'name': 'New Zealand Herald'}",Grant Bradley,Qantas brings Classic Plus to New Zealand: What loyalty change means for Kiwi travellers,The Australian airline is making a renewed push into the NZ market.,https://www.nzherald.co.nz/business/qantas-brings-classic-plus-to-new-zealand-what-loyalty-change-means-for-kiwi-travellers/5ZZSSGYXOJGDVMDCL6JCICW3KU/,https://www.nzherald.co.nz/resizer/v2/DS64VDPFNVEJJLEUIBEGUOXZLE.JPG?auth=ccd2f4252d3223ce6548001566f14263a76e7bc96fe6ce050aa42d8f6494e981&width=1200&height=675&quality=70&smart=true,2024-06-25T23:54:59Z,"Classic Plus reward seats can be booked from today on Qantas international flights departing New Zealand for travel from July 1.
The airline said today that while usually requiring more points than … [+2494 chars]",technology,35
"{'id': None, 'name': 'pymnts.com'}",PYMNTS,"Stability AI Secures ‘Significant’ Investment, Names CEO, Executive Chairman",Stability AI said Tuesday (June 25) that it secured “significant” new funding from an investment group and appointed a new CEO and a new executive chairman. The new capital and leadership will accelerate the company’s growth and ability to deliver generative …,https://www.pymnts.com/artificial-intelligence-2/2024/stability-ai-secures-significant-investment-names-ceo-executive-chairman/,https://www.pymnts.com/wp-content/uploads/2024/06/Stability-AI-1.jpg,2024-06-25T23:54:34Z,"Stability AI said Tuesday (June 25) that it secured significant new funding from an investment group and appointed a new CEO and a new executive chairman.
The new capital and leadership will acceler… [+2436 chars]",technology,35
"{'id': None, 'name': 'Histalk2.com'}",Mr. HIStalk,Morning Headlines 6/26/24,EVisit Acquires UPMC’s Inpatient Teleconsult Technology and Secures Investments from ...,https://histalk2.com/2024/06/25/morning-headlines-6-26-24/,,2024-06-25T23:51:50Z,"EVisit Acquires UPMC’s Inpatient Teleconsult Technology and Secures Investments from UPMC Enterprises and MedStar Health to Expand Innovative Partnerships and Capabilities
EVisit acquires inpatient … [+589 chars]",technology,27
"{'id': 'msnbc', 'name': 'MSNBC'}",Ja'han Jones,"Martin Shkreli pushes ‘Trump’ cryptocurrency, claims he created it with a Trump son",“Pharma Bro” Martin Shkreli has been hawking a cryptocurrency called “DJT” and making dubious claims that the coin is backed by a member of the Trump family.,https://www.msnbc.com/the-reidout/reidout-blog/martin-shkreli-bitcoin-barron-trump-rcna158913,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-06/240625-Martin-Shkreli-vl-500p-6e0e8b.jpg",2024-06-25T23:50:04Z,"Happy Tuesday! Heres your Tuesday Tech Drop, the weeks top news from the intersection of politics and the all-inclusive world of technology.
Pharma Bro chases clout with Trump coin
Martin Shkreli t… [+3920 chars]",technology,34
"{'id': None, 'name': 'pymnts.com'}",PYMNTS,29% of Vacationers Say ‘Improved Finances’ Enable Summer Travel,"July Fourth is just around the corner and, if you haven’t already done so, there is still time to make last-minute travel plans. But be warned: about half of Americans who plan to travel already have their vacation itineraries mapped out.  In fact, according …",https://www.pymnts.com/consumer-insights/2024/29percent-of-would-be-vacationers-say-improved-finances-enable-summer-travel/,https://www.pymnts.com/wp-content/uploads/2024/06/summer-travel-vacation.jpg,2024-06-25T23:48:18Z,"July Fourth is just around the corner and, if you havent already done so, there is still time to make last-minute travel plans. But be warned: about half of Americans who plan to travel already have … [+3428 chars]",technology,39
"{'id': None, 'name': 'The Punch'}",Our Reporters,Aviation stakeholders to tackle industry challenges at summit,Stakeholders in the Nigerian aviation industry are set to chart a way to tackle challenges confronting the sector. They will be focusing on the theme ‘Aviation Survivability amidst a Challenging Macro-Economic Environment’ at the 28th edition of the Annual Co…,https://punchng.com/aviation-stakeholders-to-tackle-industry-challenges-at-summit/,https://cdn.punchng.com/wp-content/uploads/2024/04/01003436/Keyamo-1200x630.jpg,2024-06-25T23:48:09Z,"Stakeholders in the Nigerian aviation industry are set to chart a way to tackle challenges confronting the sector.
They will be focusing on the theme Aviation Survivability amidst a Challenging Macr… [+1340 chars]",technology,33
