author,title,description,url,source,image,category,language,country,published_at,topic
Gloria Kwizera,Navy Medicine senior leaders visit Duke University to promote health care scholarships and career opportunities [Image 1 of 4],"240606-N-XW717-1003 DURHAM, N.C. (June 6, 2024) U.S. Navy Deputy Surgeon General Rear Adm. Rick Freedman practices an intracorporeal knot tie for fundamental laparoscopy surgery at the Human Simulation and Patient Safety Center at the Duke University School of Medicine, June 6. The visit was an opportunity for Navy Medicine and Navy Talent Acquisition Group (NTAG) Carolina recruiters to discuss health care scholarships and career opportunities between Duke University School of Medicine and the U.S. Navy. (U.S. Navy photo by Gloria Kwizera)",https://www.dvidshub.net/image/8465612/navy-medicine-senior-leaders-visit-duke-university-promote-health-care-scholarships-and-career-opportunities,dvidshub,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2406/8465612/250w_q95.jpg,general,en,us,2024-06-10T23:40:44+00:00,health
Gloria Kwizera,Navy Medicine senior leaders visit Duke University to promote health care scholarships and career opportunities [Image 2 of 4],"240606-N-XW717-1001 DURHAM, N.C. (June 6, 2024) U.S. Navy Deputy Surgeon General Rear Adm. Rick Freedman, Master Chief Hospital Corpsman Hansen LaFoucade, the deputy director of the Hospital Corps, and recruiters from Navy Talent Acquisition Group (NTAG) Carolina take a group photo with students and faculty from Duke University School of Medicine leadership, June 6. The visit was an opportunity for Navy Medicine and NTAG Carolina recruiters to discuss health care scholarships and career opportunities between Duke University School of Medicine and the U.S. Navy. (U.S. Navy photo by Gloria...",https://www.dvidshub.net/image/8465613/navy-medicine-senior-leaders-visit-duke-university-promote-health-care-scholarships-and-career-opportunities,dvidshub,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2406/8465613/250w_q95.jpg,general,en,us,2024-06-10T23:40:39+00:00,health
Gloria Kwizera,Navy Medicine senior leaders visit Duke University to promote health care scholarships and career opportunities [Image 3 of 4],"240606-N-XW717-1004 DURHAM, N.C. (June 6, 2024) Nicole Blogett, the director of the Center for Nursing and associate professor, showcases virtual reality technology to U.S. Navy Deputy Surgeon General Rear Adm. Rick Freedman during a tour of the Health Innovation Center at the Duke University School of Nursing, June 6. The visit was an opportunity for Navy Medicine and Navy Talent Acquisition Group (NTAG) Carolina recruiters to discuss health care scholarships and career opportunities between Duke University School of Medicine and the U.S. Navy. (U.S. Navy photo by Gloria Kwizera)",https://www.dvidshub.net/image/8465614/navy-medicine-senior-leaders-visit-duke-university-promote-health-care-scholarships-and-career-opportunities,dvidshub,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2406/8465614/250w_q95.jpg,general,en,us,2024-06-10T23:40:24+00:00,health
Gloria Kwizera,Navy Medicine senior leaders visit Duke University to promote health care scholarships and career opportunities [Image 4 of 4],"240606-N-XW717-1002 DURHAM, N.C. (June 6, 2024) Master Chief Hospital Corpsman Hansen LaFoucade, the deputy director of the Hospital Corps, receives guidance on how to use an advanced laparoscopic training from Victor Moas, a resident of general surgery and Navy Reservist, at the Duke University Human Simulation and Patient Safety Center, June 6. The visit was an opportunity for Navy Medicine and Navy Talent Acquisition Group (NTAG) Carolina recruiters to discuss health care scholarships and career opportunities between Duke University School of Medicine and the U.S. Navy. (U.S. Navy photo by...",https://www.dvidshub.net/image/8465615/navy-medicine-senior-leaders-visit-duke-university-promote-health-care-scholarships-and-career-opportunities,dvidshub,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2406/8465615/250w_q95.jpg,general,en,us,2024-06-10T23:40:19+00:00,health
,"Lib Dems' plan to return Britain to the EU - as anti-Brexit plan leads pledges alongside cannabis shops, tax hikes and health care reforms","Liberal Democrat leader Sir Ed Davey committed to several radical plans including cannabis shops on high streets, gender self-ID and a 500 per cent increase of council tax on second homes.",https://www.dailymail.co.uk/news/article-13515161/lib-dem-britain-eu-cannabis-shops-tax-hikes.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,dailymail,https://i.dailymail.co.uk/1s/2024/06/10/22/85948399-0-image-m-38_1718053898882.jpg,general,en,us,2024-06-10T23:40:08+00:00,health
,"Law enforcement, armed security coming to North Carolina hospitals as violence increases","WRAL Investigates found felony assaults against health care workers jumped 7.5% between 2022 and 2023, according to court records.",https://www.wral.com/story/law-enforcement-armed-security-coming-to-north-carolina-hospitals-as-violence-increases/21475368/,wral,//www.wral.com/,general,en,us,2024-06-10T23:24:30+00:00,health
Associated Press,Improve your health by stopping negativity and embracing optimism,"Optimism in itself is hardly a cure-all, but numerous studies over the decades have demonstrated a link between a positive outlook and good health outcomes.",https://www.sgvtribune.com/2024/06/10/heres-how-you-can-improve-your-health-by-stopping-negativity-and-embracing-optimism/,sgvtribune,https://www.sgvtribune.com/wp-content/uploads/2024/06/Be_Well-Healthy_Optimism_60886.jpg?w=1400px&strip=all,general,en,us,2024-06-10T23:15:49+00:00,health
Associated Press,Improve your health by stopping negativity and embracing optimism,"Optimism in itself is hardly a cure-all, but numerous studies over the decades have demonstrated a link between a positive outlook and good health outcomes.",https://www.presstelegram.com/2024/06/10/heres-how-you-can-improve-your-health-by-stopping-negativity-and-embracing-optimism/,presstelegram,https://www.presstelegram.com/wp-content/uploads/2024/06/Be_Well-Healthy_Optimism_60886.jpg?w=1400px&strip=all,general,en,us,2024-06-10T23:15:49+00:00,health
Emma Hoggard,Molina Healthcare hosting men’s health event,"EL PASO, Texas (KVIA) -- Molina Healthcare of Texas is hosting an event for seniors this Men's Health Month. The event will feature free blood pressure and glucose screenings, and free educational materials and resources. The first 20 people will get free haircuts, while the first 30 people will get free hygiene bags. The eventThe post Molina Healthcare hosting men&#8217;s health event appeared first on KVIA.",https://kvia.com/health/2024/06/10/molina-healthcare-hosting-mens-health-event/,kvia,,general,en,us,2024-06-10T23:15:16+00:00,health
,Just five more ways Michael Mosley made us healthier,Michael Mosley’s simple and accessible health hacks made him a household name. Remember these?,https://www.bbc.com/news/articles/c1wwv0405wyo,BBC News - UK,https://ichef.bbci.co.uk/news/240/cpsprodpb/7af0/live/a39e4b80-274d-11ef-a582-c35fceaa1feb.jpg,general,en,gb,2024-06-10T23:09:01+00:00,health
Sam Hall,Campaign encourages more doctors to specialise in sexual health amid rising STIs,The leading organisation for sexual health and HIV professionals in the UK said genitourinary medicine (GUM) doctors are needed ‘now more than ever’.,https://www.standard.co.uk/news/health/stis-hiv-england-b1163490.html,thisislondon,https://static.standard.co.uk/2024/06/11/00/30270caaa9ac8069cbb556a858c9f02dY29udGVudHNlYXJjaGFwaSwxNzE4MTM2MjU2-2.29521955.jpg?width=1200&auto=webp,general,en,uk,2024-06-10T23:01:00+00:00,health
,NO HOPE WITHOUT PORZINGIS?,"On First Take, Stephen A. Smith, Kendrick Perkins and Shannon Sharpe debate the importance of Kristaps Porzingis' health for the Boston Celtics as they take on the Dallas Mavericks in the 2024 NBA Finals.☑️ Subscribe to ESPN+: https://plus.espn.com/",https://www.cwnsports.com/no-hope-without-porzingis%f0%9f%91-celtics-title-hopes-ride-on-porzingis-availability-perk-first-take_74b6a4148.html,Cwn Sports,,sports,en,us,2024-06-10T22:48:55+00:00,health
Christina Rodriguez,Be Mindful: Santa Maria Police Department prioritizes mental health practices for officers,"Leaders at the Santa Maria Police Department focus on building their team's overall lifestyle, wanting their department to be physically, mentally and financially stable. In order to achieve this goal, however, they start by addressing one key factor: mental health.The post Be Mindful: Santa Maria Police Department prioritizes mental health practices for officers appeared first on News Channel 3-12.",https://keyt.com/health/be-mindful/2024/06/10/be-mindful-santa-maria-police-department-prioritizes-mental-health-practices-for-officers/,keyt,,general,en,us,2024-06-10T22:46:38+00:00,health
vladia,Nuevo método predice la demencia nueve años antes de su diagnóstico,"Imagen principal:&nbsp; Foto ilustrativa: remitida por UGR  Investigadores de la Universidad Queen Mary de Londres desarrollaron un nuevo método que permite predecir la demencia con una precisión superior al 80 por ciento y hasta nueve años antes del diagnóstico, trascendió hoy.La novedosa técnica posibilita vaticinar la demencia con mayor exactitud que las pruebas de memoria o las mediciones del encogimiento cerebral, dos métodos utilizados habitualmente para diagnosticar la enfermedad, según publicó la revista Nature Mental Health.",http://cubasi.cu/en/node/358004,CubaSi.cu,,general,en,cu,2024-06-10T22:30:53+00:00,health
Janice Erdlitz,Lyster welcomes new commander,"U.S. Army Medical Readiness Command, East, Commanding General Brig. Gen. Lance Raney, prepares to hand the guidon to incoming commander, Lt. Col. Leah Steder during the change of command ceremony for Lyster Army Health Clinic. Lt. Col. Garrett Holt, the outgoing commander, served as the clinic commander from June 2022 to June 2024. The ceremony took place at the Army Aviation Museum on Fort Novosel, Alabama on June 6, 2024.",https://www.dvidshub.net/image/8465449/lyster-welcomes-new-commander,dvidshub,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2406/8465449/250w_q95.jpg,general,en,us,2024-06-10T22:14:52+00:00,health
Janice Erdlitz,Lyster welcomes new commander,Lt. Col. Leah Steder assumed command of Lyster Army Health Clinic from Lt. Col. Garrett Holt during a change of command ceremony at the Army Aviation Museum at Fort Novosel on June 6.,https://www.dvidshub.net/news/473579/lyster-welcomes-new-commander,dvidshub,https://d1ldvf68ux039x.cloudfront.net/thumbs/photos/2406/8465449/250w_q95.jpg,general,en,us,2024-06-10T22:14:52+00:00,health
pdtechintegration automation account,Quebec to offer financial incentives to universities for programs where more labour is needed,"Priority sectors for the government include health, education, information technology and engineering.",https://montrealgazette.com/news/quebec/quebec-to-offer-financial-incentives-to-universities-for-programs-where-more-labour-is-needed,montrealgazette,,general,en,us,2024-06-10T22:13:45+00:00,health
Sky News,Genetics testing company 23andMe investigated over data breach,A joint investigation into a data breach at DNA testing company has been launched by UK and Canadian watchdogs. The Information Commissioner's Office (ICO) and the Office of the Privacy Commissioner of Canada (OPC) announced the investigation into the October 2023 incident. US-based genetics company 23andMe analyses its customers' DNA through home saliva collection kits to provide insights on factors such as health and ancestry.,https://ca.news.yahoo.com/genetic-testing-company-23andme-investigated-221200711.html,sports,,general,en,us,2024-06-10T22:12:00+00:00,health
Post Editorial Board,City Health Commissioner Vasan’s unforced mental-health miscue,Mayor Adams and Health Commissioner Ashwin Vasan are getting major pushback for messing with small mental-health community centers — and rightly so.,https://nypost.com/2024/06/10/opinion/city-health-commissioner-vasans-unforced-mental-health-miscue/,Post,https://nypost.com/wp-content%2Fuploads%2Fsites%2F2%2F2024%2F06%2Fnewspress-collage-6js54ejbi-1718056211496.jpg?quality%3D90%26strip%3Dall%261718042044,general,en,zm,2024-06-10T22:08:26+00:00,health
James Herrera,"Dr. Steven Packer, Montage Health president and CEO, announces retirement","“It has been a genuine privilege to serve this wonderful community that my family calls home,” said Packer in a press release. “I have been honored to work with such an amazing team of dedicated and skilled physicians, nurses, staff, volunteers and Boards of Trustees. I am so proud of our collective efforts to provide extraordinary care to our community.”",https://www.montereyherald.com/2024/06/10/dr-steven-packer-montage-health-president-and-ceo-announces-retirement/,montereyherald,https://www.montereyherald.com/wp-content/uploads/2024/06/MCH-L-PACKER1-0611_195257506.jpg?w=1400px&strip=all,general,en,us,2024-06-10T22:02:25+00:00,health
,Queensland Premier defends record health spending,Premier Steven Miles insists the huge health spending boost in today's state budget is responsible.,https://www.smh.com.au/national/queensland-premier-defends-record-health-spending-20240611-p5jkrc.html?ref=rss&utm_medium=rss&utm_source=rss_national,The Sydney Morning Herald,https://static.ffx.io/images/$width_800%2C$height_450/t_crop_fill/q_86%2Cf_jpg/8b0273738923e57229141e543ceba6ead3404674,general,en,au,2024-06-10T22:00:14+00:00,health
,Queensland Premier defends record health spending,Premier Steven Miles insists the huge health spending boost in today's state budget is responsible.,https://www.brisbanetimes.com.au/national/queensland-premier-defends-record-health-spending-20240611-p5jkrc.html?ref=rss&utm_medium=rss&utm_source=rss_national,brisbanetimes,https://static.ffx.io/images/$width_800%2C$height_450/t_crop_fill/q_86%2Cf_jpg/8b0273738923e57229141e543ceba6ead3404674,general,en,au,2024-06-10T22:00:14+00:00,health
,Queensland Premier defends record health spending,Premier Steven Miles insists the huge health spending boost in today's state budget is responsible.,https://www.theage.com.au/national/queensland-premier-defends-record-health-spending-20240611-p5jkrc.html?ref=rss&utm_medium=rss&utm_source=rss_national,The Age,https://static.ffx.io/images/$width_800%2C$height_450/t_crop_fill/q_86%2Cf_jpg/8b0273738923e57229141e543ceba6ead3404674,general,en,au,2024-06-10T22:00:14+00:00,health
,Queensland Premier defends record health spending,Premier Steven Miles insists the huge health spending boost in today's state budget is responsible.,https://www.theage.com.au/national/queensland-premier-defends-record-health-spending-20240611-p5jkrc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,The Age,https://static.ffx.io/images/$width_800%2C$height_450/t_crop_fill/q_86%2Cf_jpg/8b0273738923e57229141e543ceba6ead3404674,general,en,au,2024-06-10T22:00:14+00:00,health
