author,title,description,url,source,image,category,language,country,published_at,topic
Adeyinka Salami,FintechNGR Push for More Regulatory Frameworks to Address Cybersecurity Challenges,"Worried about the increasing rate of cyber attacks on Financial Technology (Fintech) players, resulting in huge financial losses by Fintech players and several financial institutions, the Fintech Association of Nigeria",https://www.thisdaylive.com/index.php/2024/06/06/fintechngr-push-for-more-regulatory-frameworks-to-address-cybersecurity-challenges/,thisdaylive,,general,en,us,2024-06-05T23:43:00+00:00,technology
Business Wire,Blackline Announces Filing of Final Prospectus and Provides an Update on the Offering,"NOT FOR DISTRIBUTION TO U.S. NEWS WIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES The prospectus is accessible through SEDAR+ CALGARY, Canada &#8212; Blackline Safety Corp. (&#8220;Blackline&#8221; or the &#8220;Company&#8220;) (TSX: BLN) a global leader in connected safety technology, is pleased to announce today that it has filed, and obtained a receipt for, a [&#8230;]",https://financialpost.com/pmn/business-wire-news-releases-pmn/blackline-announces-filing-of-final-prospectus-and-provides-an-update-on-the-offering,Financial Post | Canada Business News,,business,en,us,2024-06-05T23:12:19+00:00,technology
Sajid Salamat,"Indus Water Treaty violations by India: Land degradation serious risk to Pakistan’s food, water security",Prime Minister&#8217;s Coordinator on Climate Change Romina Khurshid Alam on Wednesday said land degradation due to rising impacts of climate change was a serious risk to Pakistan&#8217;s food and water security amid Indian violations of Indus Water Treaty (IWT). She was addressing the Commission on Science and Technology for Sustainable Development in the South (COMSATS)&#8217;s [&#8230;],https://dailytimes.com.pk/1198468/indus-water-treaty-violations-by-india-land-degradation-serious-risk-to-pakistans-food-water-security/,Daily Times,,general,en,pk,2024-06-05T23:04:28+00:00,technology
Investing.com,Pluribus Technologies Corp. Announces Further Amendment to Forbearance Agreement,Pluribus Technologies Corp. Announces Further Amendment to Forbearance Agreement,https://www.investing.com/news/press-releases/pluribus-technologies-corp-announces-further-amendment-to-forbearance-agreement-93CH-3472785,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/news_pile_108x81.jpg,business,en,us,2024-06-05T22:56:04+00:00,technology
,"Guidewire Appoints Shaji Sethu as Senior Vice President and Managing Director, APAC",(marketscreener.com) Seasoned cloud computing and insurance technology veteran will further Guidewire expansion in high-growth markethttps://www.marketscreener.com/quote/stock/GUIDEWIRE-SOFTWARE-INC-9828944/news/Guidewire-Appoints-Shaji-Sethu-as-Senior-Vice-President-and-Managing-Director-APAC-46914092/?utm_medium=RSS&utm_content=20240605,https://www.marketscreener.com/quote/stock/GUIDEWIRE-SOFTWARE-INC-9828944/news/Guidewire-Appoints-Shaji-Sethu-as-Senior-Vice-President-and-Managing-Director-APAC-46914092/?utm_medium=RSS&utm_content=20240605,4-traders,,general,en,us,2024-06-05T22:31:06+00:00,technology
GlobeNewswire,DMG Blockchain Solutions Announces May Operational Results,"VANCOUVER, British Columbia, June 05, 2024 (GLOBE NEWSWIRE) &#8212; DMG Blockchain Solutions Inc. (TSX-V: DMGI) (OTCQB US: DMGGF) (FRANKFURT: 6AX) (“DMG” or the “Company”), a vertically integrated blockchain and data center technology company, announces its operational results for May 2024: Key Highlights for May 2024: Bitcoin mined: 23 BTC Hashrate: 0.94 EH/s BTC balance: 449 [&#8230;]",https://financialpost.com/globe-newswire/dmg-blockchain-solutions-announces-may-operational-results,Financial Post | Canada Business News,,business,en,us,2024-06-05T22:22:11+00:00,technology
,DMG Blockchain Solutions Announces May Operational Results,"(marketscreener.com) VANCOUVER, British Columbia, June 05, 2024 -- DMG Blockchain Solutions Inc. , a vertically integrated blockchain and data center technology company, announces its operational results for May 2024: Key Highlights for May 2024: Bitcoin mined: 23 BTCHashrate: 0.94 EH/sBTC balance: 449 BTC In May 2024, DMG mined 23 bitcoin with a...https://www.marketscreener.com/quote/stock/DMG-BLOCKCHAIN-SOLUTIONS--45098646/news/DMG-Blockchain-Solutions-Announces-May-Operational-Results-46914084/?utm_medium=RSS&utm_content=20240605",https://www.marketscreener.com/quote/stock/DMG-BLOCKCHAIN-SOLUTIONS--45098646/news/DMG-Blockchain-Solutions-Announces-May-Operational-Results-46914084/?utm_medium=RSS&utm_content=20240605,4-traders,,general,en,us,2024-06-05T22:21:06+00:00,technology
Investing.com,"Opendoor Technologies chief legal officer sells shares worth $5,453","Opendoor Technologies chief legal officer sells shares worth $5,453",https://www.investing.com/news/company-news/opendoor-technologies-chief-legal-officer-sells-shares-worth-5453-93CH-3472752,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/World_News_9_M_1440052127.jpg,business,en,us,2024-06-05T22:16:23+00:00,technology
Chronicle Editor,"Records mishandling nightmare! Businesses, individuals risk big losses","Nqobile Tshili, nqobile.tshili@chronicle.co.zw BUSINESS organisations and individuals risk losing critical assets including hard-earned properties with serious implications on future needs due to poor records management and exposure to digital data corruption. The advent of new technologies and the need to digitise archival processes has seen many organisations slackening on backup systems as they shift from manual [&#8230;]",https://www.chronicle.co.zw/records-mishandling-nightmare-businesses-individuals-risk-big-losses/,The Chronicle,,general,en,gh,2024-06-05T22:06:03+00:00,technology
,BuildDirect Announces Secured Debt Financing for US $1 Million,"(marketscreener.com) BuildDirect.com Technologies Inc. a leading omnichannel building material retailer, announces the closing of a secured debt financing pursuant to which it issued, via its wholly owned subsidiary BuildDirect Operations Limited , secured notes to Pelecanus Investments Ltd. , Lyra Growth Partners Inc. and Beedie Investments Ltd. in an aggregated...https://www.marketscreener.com/quote/stock/BUILDDIRECT-COM-TECHNOLOG-114383845/news/BuildDirect-Announces-Secured-Debt-Financing-for-US-1-Million-46914046/?utm_medium=RSS&utm_content=20240605",https://www.marketscreener.com/quote/stock/BUILDDIRECT-COM-TECHNOLOG-114383845/news/BuildDirect-Announces-Secured-Debt-Financing-for-US-1-Million-46914046/?utm_medium=RSS&utm_content=20240605,4-traders,,general,en,us,2024-06-05T22:05:09+00:00,technology
