source,author,title,description,url,urlToImage,publishedAt,content,topic
"{'id': None, 'name': 'WLS-TV'}",Craig Wall,US surgeon general gun violence public health crisis declaration hailed by Chicago officials,Chicago officials are hailing the U.S. surgeon general's decision Tuesday to declare gun violence a public health crisis.,https://abc7chicago.com/post/us-surgeon-general-gun-violence-public-health-crisis/15000385/,https://cdn.abcotvs.com/dip/images/15000432_062524-WLS-wall-gun-violence-430p-vid.jpg?w=1600,2024-06-25T23:54:19Z,"CHICAGO (WLS) -- Chicago officials are hailing the U.S. surgeon general's decision Tuesday to declare gun violence a public health crisis.
It comes as gun violence becomes the leading cause of death… [+2839 chars]",politics
"{'id': None, 'name': 'Freerepublic.com'}",NY Post,"‘Spies Who Lie’ leader, cosigners were CIA contractors when they falsely implied Hunter Biden laptop was Russian fake",WASHINGTON — Some of the 51 “Spies Who Lie” were active CIA contractors when they claimed files from first son Hunter Biden’s laptop had “the classic earmarks” of Russian disinformation ahead of the 2020 election — a fact that was uneasily noted inside the ag…,https://freerepublic.com/focus/f-chat/4246722/posts,,2024-06-25T23:50:16Z,"Skip to comments.
Spies Who Lie leader, cosigners were CIA contractors when they falsely implied Hunter Biden laptop was Russian fakeNY Post ^
 | 6/25/24
 | Steven Nelson
Posted on 06/25/2024 4:5… [+2557 chars]",politics
"{'id': None, 'name': 'Freerepublic.com'}",NY Post,"‘Spies Who Lie’ leader, cosigners were CIA contractors when they falsely implied Hunter Biden laptop was Russian fake",WASHINGTON — Some of the 51 “Spies Who Lie” were active CIA contractors when they claimed files from first son Hunter Biden’s laptop had “the classic earmarks” of Russian disinformation ahead of the 2020 election — a fact that was uneasily noted inside the ag…,https://freerepublic.com/focus/f-news/4246722/posts,,2024-06-25T23:50:16Z,"Skip to comments.
Spies Who Lie leader, cosigners were CIA contractors when they falsely implied Hunter Biden laptop was Russian fakeNY Post ^
 | 6/25/24
 | Steven Nelson
Posted on 06/25/2024 4:5… [+3327 chars]",politics
"{'id': 'msnbc', 'name': 'MSNBC'}",Ja'han Jones,"Martin Shkreli pushes ‘Trump’ cryptocurrency, claims he created it with a Trump son",“Pharma Bro” Martin Shkreli has been hawking a cryptocurrency called “DJT” and making dubious claims that the coin is backed by a member of the Trump family.,https://www.msnbc.com/the-reidout/reidout-blog/martin-shkreli-bitcoin-barron-trump-rcna158913,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-06/240625-Martin-Shkreli-vl-500p-6e0e8b.jpg",2024-06-25T23:50:04Z,"Happy Tuesday! Heres your Tuesday Tech Drop, the weeks top news from the intersection of politics and the all-inclusive world of technology.
Pharma Bro chases clout with Trump coin
Martin Shkreli t… [+3920 chars]",politics
"{'id': 'cbs-news', 'name': 'CBS News'}",CBS News,Trump says he knows who his VP pick will be,"Former President Donald Trump is leaving the public in suspense about who he may pick as his running mate, saying he's already privately decided who they will be. The presumptive Republican nominee also claims that person will attend the debate on Thursday ni…",https://www.cbsnews.com/video/trump-says-he-knows-who-his-vp-pick-will-be/,https://assets1.cbsnewsstatic.com/hub/i/r/2024/06/25/4c552469-e65b-4677-b67f-ccc57aaad697/thumbnail/1200x630/9a7935f38e7614ad131df7656a06bfa4/cbsn-fusion-trump-says-he-knows-who-his-vp-pick-will-be-thumbnail.jpg?v=d44ea471ad55b1f821a0763c85064960,2024-06-25T23:44:28Z,"Watch CBS News
Copyright ©2024 CBS Interactive Inc. All rights reserved.
Get browser notifications for breaking news, live events, and exclusive reporting.
Not NowTurn On",politics
"{'id': None, 'name': 'The Boston Globe'}",Ellen Barry,Surgeon General declares gun violence a public health crisis,"Dr. Vivek Murthy's move follows years of calls by health officials, including four of Murthy’s predecessors, to view firearm deaths through the lens of health rather than politics.",https://www.bostonglobe.com/2024/06/25/nation/surgeon-general-gun-violence-crisis/,https://bostonglobe-prod.cdn.arcpublishing.com/resizer/XGI1-Y-HoMlBSIyJRs0Y8fURLzw=/506x0/cloudfront-us-east-1.images.arcpublishing.com/bostonglobe/7LDARXP2D6AKQ72D7UWVDVSLUE.jpg,2024-06-25T23:40:16Z,Murthys 32-page advisory calls for an increase in funding for firearm violence prevention research; advises health workers to discuss firearm storage with patients during routine medical visits; and … [+5588 chars],politics
"{'id': None, 'name': 'Freerepublic.com'}",Washington Free Beacon,'Al Jazeera on the Potomac': WaPo Reporter Taylor Lorenz Boosts Defenses of Los Angeles Synagogue Protest,Taylor Lorenz pushed false claim LA synagogue was auctioning Palestinian land.. Washington Post reporter Taylor Lorenz on Monday pushed a false claim that a Los Angeles synagogue was auctioning off Palestinian land this week—a conspiracy theory that led to vi…,https://freerepublic.com/focus/f-news/4246721/posts,,2024-06-25T23:38:05Z,"Skip to comments.
'Al Jazeera on the Potomac': WaPo Reporter Taylor Lorenz Boosts Defenses of Los Angeles Synagogue ProtestWashington Free Beacon ^
 | June 25, 2024
 | Alana Goodman
Posted on 06/… [+7779 chars]",politics
"{'id': None, 'name': 'New York Post'}",Rich Lowry,"In debate, Trump could be his own worst enemy as Biden’s campaign flounders",What should worry supporters of Biden and Trump as their first 2024 debate approaches is what they each can do to themselves.,https://nypost.com/2024/06/25/opinion/trump-could-be-his-own-worst-debate-enemy-vs-flailing-biden/,https://nypost.com/wp-content/uploads/sites/2/2024/06/former-u-s-president-republican-84374217_17121c.jpg?quality=75&strip=all&w=1024,2024-06-25T23:13:10Z,"Donald Trump may be a real estate guy, but his ethics in the first presidential debate should be the familiar rule from the medical profession: First, do no harm. 
Trump was rejected by the voters a… [+3742 chars]",politics
"{'id': None, 'name': 'BBC News'}",,Tackling US gun violence as a public health crisis. Will it help?,The first-of-its-kind report aims to change the discussion around guns in the US and remove divisive politics in hopes of curbing deaths.,https://www.bbc.com/news/articles/cjqqelzgq17o,https://ichef.bbci.co.uk/news/1024/branded_news/817b/live/ae9d3490-3316-11ef-bdc5-41d7421c2adf.jpg,2024-06-25T23:09:45Z,"US Surgeon General Vivek Murthy has declared gun violence a public health crisis, a move aimed at curbing the US' role in leading the world in shooting deaths. 
In a first-of-its-kind report urging … [+3963 chars]",politics
"{'id': None, 'name': 'Tistory.com'}",T.B,"미국 대선 개입 윤석열 ""원화 굴기(Dollarization)가 웬 말이냐?""","North Korea sent a new batch of around 350 balloons carrying trash across the border into South Korea, after Seoul said it detected parasites such as roundworms in the contents of previous dispatches. https://t.co/ir66w85VPH— Bloomberg Asia (@BloombergAsia) J…",https://ryueyes11.tistory.com/18252,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbDfy2J%2FbtsIbr2UAWz%2FTr0gxHb4ckeeNnNOpX4pdk%2Fimg.jpg,2024-06-25T23:09:05Z,"North Korea sent a new batch of around 350 balloons carrying trash across the border into South Korea, after Seoul said it detected parasites such as roundworms in the contents of previous dispatches… [+8742 chars]",politics
